mol,smiles
mol108,C1(=CC=C(C=C1N(=O)=O)C(=O)OC1=CC=C(C=C1)/C=N/C1=CC=C(C=C1)Cl)C(=O)OC1=CC=C(C=C1)/C=N/C1C=CC(=CC=1)Cl
mol109,N(=O)(=O)C1=CC=C(C=C1)CSCC(=O)N/N=C/C1=CC=C(C=C1)Br
mol110,C1(OC2=C(C=C(C=C2)CC)N=1)C1=CC(=CC=C1Cl)NC(=S)NC(=O)C1=C(C)C2=C(C=CC=C2)O1
mol111,C1(=CC=C(C=C1N(=O)=O)C(=O)OC1=CC=C(C=C1)/C=N/C1=CC=C(C=C1)Br)C(=O)OC1=CC=C(C=C1)/C=N/C1C=CC(=CC=1)Br
mol112,N1(C2=CC=CC=C2C2C=CC=CC=2)C(=O)C2=C(C=C(C=C2)C(=O)NC2=CC=C(C=C2)SC2=CC=C(C=C2)N(=O)=O)C1=O
mol113,S(C)(=O)(=O)N(C1C=CC(=CC=1)Cl)CC(=O)NC1C=CC(=CC=1)Cl
mol114,C(=O)(NC1=CC=C(C=C1)C(OCC)=O)C/C(/C)=N/NC(COC1C=CC(=CC=1)OC)=O
mol115,C(=O)(OC1=CC=C(C=C1)/C=N/C1=CC=CC(OC)=C1)/C=C/C1C=CC(=CC=1)Br
mol116,C(C(OC)=O)(=CC1C2C=CC=CC=2N(C(C)=O)C=1)N(=O)=O
mol117,N(=O)(=O)C1C=CC(=CC=1)CSCC(=O)N/N=C/C1C=CC(=C(OC)C=1)OC
mol118,C(=O)(OC1=CC=C(C=C1OC)C=N/N=C(\N)/N)C1=CC=CC=C1Cl
mol119,N(=O)(=O)C1=CC=C(C=C1)CSCC(=O)N/N=C/C1C=CC2=C(OCO2)C=1
mol120,C1(=CC=C(C2=CC=CC=C2)O1)C(=O)N/N=C(/C1C=CC(=CC=1)OC)\C1C=CC(=CC=1)OC
mol121,C(N(CC=C)CC=C)(=S)OC1=CC=CC(=C1)C(=O)NC1=CC=CC=C1
mol122,N1(N=C(C(=NNC2=CC=C(C=C2)Cl)C1=O)C1=CC=CC=C1)C1SC=C(C2=CC=C(C=C2)CCCC)N=1
mol123,N(=O)(=O)C1=CC=C(C=C1)CSCC(=O)N/N=C/C1=CC=C(C=C1)OCC=C
mol124,S(=O)(=O)(C1=CC=C(C=C1)NC(=O)C1=C(C)ON=C1C1=CC=CC=C1)N1CCCC1
mol125,N(=O)(=O)C1C=CC=C(C=1C)C(=O)NC(=S)NC1C=CC(=CC=1)OC
mol126,N(=C/C1=CC=C(C=C1)OC(=O)/C=C/C1C=CC(=CC=1)Br)\C1=CC=C(C=C1C)C
mol127,C1(C2=C(C=CC=C2Cl)Cl)=NOC(C)=C1C(=O)NC1C=CC=C(Br)C=1
mol128,N(=C/C1=CC=C(C=C1)OC(=O)/C=C/C1C=CC(=CC=1)Br)\C1=CC=CC=C1C
mol129,C(C1C=CC=CC=1)(=O)NCC(=O)NCC(=O)N/N=C/C1C=C(OC)C=CC=1OC
